,VIF Factor,features
0,11.357500466564495,director_score
1,60.228122870304254,openDt_score
2,237.1693784735529,prdtYear_score
3,67.54527363268596,repNationNm_score
4,22.037275603619534,repGenreNm_score
5,20.85396730387621,showTm_score
6,68.80325558321039,watchGradeNm_score
7,21.595730556863966,distributor_score
8,22.617681941082044,actor_score
9,90.97103389862804,starScore
10,6.066869877276289,userCount
11,12.460097363881777,previous_screen
12,866.1118341273433,screen_D1
13,1685.6143918435528,screen_D2
14,1992.8716904119112,screen_D3
15,2690.5645089635996,screen_D4
16,1881.1249322400608,screen_D5
17,1282.5125472158236,screen_D6
18,673.9745164242864,screen_D7
19,11.351075880648557,previous_show
20,397.29267061479476,show_D1
21,2007.251636662755,show_D2
22,3614.5552502844134,show_D3
23,4659.0087856154905,show_D4
24,3236.8268062109983,show_D5
25,1261.0059859298945,show_D6
26,403.9041271756341,show_D7
27,6.20587064434557,previous_audience
28,16.471071175592048,audience_D1
29,23.13591970788436,audience_D2
30,77.68496654669602,audience_D3
31,169.61848820059663,audience_D4
32,81.59585000180181,audience_D5
33,18.06988803512272,audience_D6
34,9.513233897290586,audience_D7
